Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
KEN,2008-01-01,2008-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2008,2008,SLC,57.8805037932,E
KEN,2009-01-01,2009-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2009,2009,SLC,64.6476000886,E
KEN,2010-01-01,2010-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2010,2010,SLC,65.7072994197,E
KEN,2011-01-01,2011-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2011,2011,SLC,72.3207460329,E
KEN,2012-01-01,2012-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2012,2012,SLC,79.8185796935,E
KEN,2013-01-01,2013-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2013,2013,SLC,85.0984266380,E
KEN,2014-01-01,2014-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2014,2014,SLC,91.5752352387,E
KEN,2015-01-01,2015-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2015,2015,SLC,100.0000000000,E
KEN,2016-01-01,2016-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2016,2016,SLC,105.8130377750,E
KEN,2017-01-01,2017-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2017,2017,SLC,113.8603312670,E
KEN,2018-01-01,2018-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2018,2018,SLC,118.6807462772,E
KEN,2019-01-01,2019-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2019,2019,SLC,123.7057980923,E
KEN,2020-01-01,2020-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2020,2020,SLC,129.8278159857,E
KEN,2021-01-01,2021-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2021,2021,SLC,135.4503309568,E
KEN,2022-01-01,2022-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2022,2022,SLC,143.5892218613,E
KEN,2023-01-01,2023-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2023,2023,SLC,154.6378304417,E
