county,crop,production_value,measurement_unit,year
Isiolo,Cowpea (Production Quantity),31.86,Tonnes,2021
Isiolo,Cowpea (Production Quantity),10.125,Tonnes,2022
Isiolo,Cowpea (Production Quantity),8.0,Tonnes,2023
Isiolo,Green Grams (Production Quantity),40.5,Tonnes,2012
Isiolo,Green Grams (Production Quantity),41.04,Tonnes,2013
Isiolo,Green Grams (Production Quantity),32.292,Tonnes,2014
Isiolo,Green Grams (Production Quantity),77.0,Tonnes,2015
Isiolo,Green Grams (Production Quantity),18.0,Tonnes,2016
Isiolo,Cowpea (Production Quantity),0.0,Tonnes,2017
Isiolo,Green Grams (Production Quantity),17.97,Tonnes,2018
Isiolo,Green Grams (Production Quantity),44.0,Tonnes,2019
Isiolo,Green Grams (Production Quantity),8.5,Tonnes,2020
Isiolo,Green Grams (Production Quantity),17.01,Tonnes,2021
Isiolo,Green Grams (Production Quantity),18.45,Tonnes,2022
Isiolo,Green Grams (Production Quantity),27.0,Tonnes,2023
Isiolo,Maize (Production Quantity),1006.38,Tonnes,2012
Isiolo,Maize (Production Quantity),1072.8,Tonnes,2013
Isiolo,Maize (Production Quantity),656.82,Tonnes,2014
Isiolo,Maize (Production Quantity),1231.0,Tonnes,2015
Isiolo,Maize (Production Quantity),475.0,Tonnes,2016
Isiolo,Maize (Production Quantity),511.29,Tonnes,2017
Isiolo,Maize (Production Quantity),287.5,Tonnes,2018
Isiolo,Maize (Production Quantity),749.0,Tonnes,2019
Isiolo,Maize (Production Quantity),41.9,Tonnes,2020
Isiolo,Maize (Production Quantity),139.0,Tonnes,2021
Isiolo,Maize (Production Quantity),94.25,Tonnes,2022
Kajiado,Cassava (Production Quantity),37.0,Tonnes,2012
Kajiado,Common Beans (Production Quantity),3858.75,Tonnes,2012
Kajiado,Cassava (Production Quantity),19.0,Tonnes,2013
Kajiado,Cassava (Production Quantity),26.0,Tonnes,2014
Kajiado,Cassava (Production Quantity),73.0,Tonnes,2015
Kajiado,Cassava (Production Quantity),47.0,Tonnes,2016
Kajiado,Cassava (Production Quantity),29.0,Tonnes,2017
Kajiado,Common Beans (Production Quantity),20114.01,Tonnes,2013
Kajiado,Common Beans (Production Quantity),18943.0,Tonnes,2014
Kajiado,Common Beans (Production Quantity),30417.0,Tonnes,2015
Kajiado,Common Beans (Production Quantity),20281.0,Tonnes,2016
Kajiado,Common Beans (Production Quantity),19944.2,Tonnes,2017
Kajiado,Common Beans (Production Quantity),49489.0,Tonnes,2018
Kajiado,Common Beans (Production Quantity),32965.55,Tonnes,2019
Kajiado,Common Beans (Production Quantity),43845.7,Tonnes,2020
Kajiado,Common Beans (Production Quantity),1581.0,Tonnes,2021
Kajiado,Common Beans (Production Quantity),36757.35,Tonnes,2022
Kajiado,Common Beans (Production Quantity),42525.0,Tonnes,2023
Kajiado,Cassava (Production Quantity),23.0,Tonnes,2018
Kajiado,Cassava (Production Quantity),20.0,Tonnes,2019
Kajiado,Cassava (Production Quantity),20.0,Tonnes,2020
Kajiado,Cassava (Production Quantity),6.0,Tonnes,2022
Kajiado,Cowpea (Production Quantity),0.3,Tonnes,2012
Kajiado,Cowpea (Production Quantity),14.58,Tonnes,2013
Kajiado,Cowpea (Production Quantity),90.27,Tonnes,2014
Kajiado,Cowpea (Production Quantity),116.0,Tonnes,2015
Kajiado,Cowpea (Production Quantity),92.0,Tonnes,2016
Kajiado,Cowpea (Production Quantity),51.7,Tonnes,2017
Kajiado,Cowpea (Production Quantity),48.0,Tonnes,2018
Kajiado,Cowpea (Production Quantity),168.25,Tonnes,2019
Kajiado,Cowpea (Production Quantity),246.0,Tonnes,2020
Kajiado,Cowpea (Production Quantity),51.6,Tonnes,2021
Kajiado,Cowpea (Production Quantity),57.43,Tonnes,2022
Kajiado,Finger Millet (Production Quantity),15.0,Tonnes,2023
Kajiado,Green Grams (Production Quantity),11.97,Tonnes,2013
Kajiado,Green Grams (Production Quantity),16.00002,Tonnes,2014
Kajiado,Green Grams (Production Quantity),9.0,Tonnes,2015
Kajiado,Green Grams (Production Quantity),8.0,Tonnes,2016
Kajiado,Green Grams (Production Quantity),4.85,Tonnes,2017
Kajiado,Green Grams (Production Quantity),66.5,Tonnes,2018
Kajiado,Green Grams (Production Quantity),66.65,Tonnes,2019
Kajiado,Green Grams (Production Quantity),27.9,Tonnes,2020
Kajiado,Green Grams (Production Quantity),28.35,Tonnes,2021
Kajiado,Green Grams (Production Quantity),17.7,Tonnes,2022
Kajiado,Green Grams (Production Quantity),48.0,Tonnes,2023
