year,month,region,county,market_name,food_category,food_item,measurement_unit,local_price,normalized_unit,rainfall_mm,temperature_c
2024,Aug,Nairobi,Nairobi,Wakulima (Nairobi),vegetables and fruits,Tomatoes,64 KG,2743.0,64.0,58.11,25.35
2024,Aug,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,"Maize (white, dry)",90 KG,3787.0,90.0,58.11,25.35
2024,Aug,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Rice (aromatic),50 KG,9500.0,50.0,58.11,25.35
2024,Aug,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),vegetables and fruits,Cabbage,126 KG,4200.0,126.0,58.11,25.35
2024,Aug,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),vegetables and fruits,Onions (dry),13 KG,780.0,13.0,58.11,25.35
2024,Aug,North Eastern,Garissa,Dagahaley (Daadab),cereals and tubers,Maize,KG,97.5,1.0,58.11,25.35
2024,Aug,North Eastern,Garissa,Dagahaley (Daadab),cereals and tubers,Potatoes (Irish),KG,58.83,1.0,58.11,25.35
2024,Aug,North Eastern,Garissa,Dagahaley (Daadab),miscellaneous food,Salt,200 G,10.0,0.2,58.11,25.35
2024,Aug,North Eastern,Garissa,Dagahaley (Daadab),miscellaneous food,Sugar,KG,132.37,1.0,58.11,25.35
2024,Aug,North Eastern,Garissa,Dagahaley (Daadab),pulses and nuts,Beans (dry),KG,138.84,1.0,58.11,25.35
2024,Aug,North Eastern,Garissa,Hagadera (Daadab),cereals and tubers,Maize,KG,66.47,1.0,58.11,25.35
2024,Aug,North Eastern,Garissa,Hagadera (Daadab),cereals and tubers,Maize flour,KG,92.74,1.0,58.11,25.35
