year,month,region,county,market_name,food_category,food_item,measurement_unit,local_price,normalized_unit,rainfall_mm,temperature_c
2014,Nov,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize (white),90 KG,2021.67,90.0,102.13,25.45
2020,Apr,Coast,Kilifi,Kilifi,cereals and tubers,Maize (white),KG,49.6,1.0,58.11,25.35
2020,Apr,Coast,Kilifi,Kilifi,pulses and nuts,Beans (dry),KG,106.0,1.0,58.11,25.35
2020,Apr,Eastern,Kitui,Kitui,cereals and tubers,Maize (white),KG,32.0,1.0,58.11,25.35
2020,Apr,Eastern,Kitui,Kitui,pulses and nuts,Beans (dry),KG,86.0,1.0,58.11,25.35
2020,Apr,Nairobi,Nairobi,Nairobi,cereals and tubers,Bread,400 G,43.0,0.4,58.11,25.35
2020,Apr,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,34.66,1.0,58.11,25.35
2020,Apr,Nairobi,Nairobi,Nairobi,non-food,Fuel (diesel),L,91.37,1.0,58.11,25.35
2020,Apr,Nairobi,Nairobi,Nairobi,non-food,Fuel (petrol-gasoline),L,92.87,1.0,58.11,25.35
2020,Apr,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,78.41,1.0,58.11,25.35
2020,Apr,North Eastern,Garissa,Garissa,cereals and tubers,Maize (white),KG,68.0,1.0,58.11,25.35
2020,Apr,North Eastern,Mandera,Mandera,cereals and tubers,Maize (white),KG,81.0,1.0,58.11,25.35
2020,Apr,Rift Valley,Baringo,Marigat (Baringo),cereals and tubers,Maize (white),KG,51.7,1.0,58.11,25.35
2020,Apr,Rift Valley,Baringo,Marigat (Baringo),pulses and nuts,Beans (dry),KG,121.51,1.0,58.11,25.35
2020,Apr,Rift Valley,Kajiado,Kajiado,pulses and nuts,Beans (dry),KG,105.0,1.0,58.11,25.35
2020,Apr,Rift Valley,Nakuru,Nakuru,cereals and tubers,Maize,KG,37.55,1.0,58.11,25.35
2020,Apr,Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),KG,60.0,1.0,58.11,25.35
2018,Sep,Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,23.05,1.0,58.11,25.35
2018,Sep,Coast,Mombasa,Mombasa,cereals and tubers,Maize (white),90 KG,2100.0,90.0,58.11,25.35
2018,Sep,Coast,Mombasa,Mombasa,pulses and nuts,Beans,KG,47.23,1.0,58.11,25.35
2018,Sep,Coast,Mombasa,Mombasa,pulses and nuts,Beans (dry),90 KG,5052.5,90.0,58.11,25.35
2018,Sep,Eastern,Kitui,Kitui,cereals and tubers,Potatoes (Irish),50 KG,5500.0,50.0,58.11,25.35
2018,Sep,Eastern,Kitui,Kitui,cereals and tubers,Sorghum,90 KG,5400.0,90.0,58.11,25.35
2018,Sep,Eastern,Kitui,Kitui,pulses and nuts,Beans (dry),KG,76.9,1.0,58.11,25.35
2018,Sep,Eastern,Marsabit,Marsabit,cereals and tubers,Maize (white),KG,41.0,1.0,58.11,25.35
2018,Sep,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize (white),90 KG,2160.0,90.0,58.11,25.35
2018,Sep,Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),50 KG,3000.0,50.0,58.11,25.35
2018,Sep,Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,3620.0,90.0,58.11,25.35
2018,Sep,Nairobi,Nairobi,Nairobi,non-food,Fuel (diesel),L,108.1,1.0,58.11,25.35
2018,Sep,Nairobi,Nairobi,Nairobi,non-food,Fuel (kerosene),L,108.4,1.0,58.11,25.35
2018,Sep,Nairobi,Nairobi,Nairobi,non-food,Fuel (petrol-gasoline),L,116.7,1.0,58.11,25.35
