year,month,region,county,market,category,commodity,unit,pricetype,price,avg_rainfall_mm,normalized_price,log_normalized_price
2014,2,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,Wholesale,29.71,201.62,29.71,3.4245883344527313
2014,2,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize (white),90 KG,Wholesale,2840.0,201.62,31.56,3.4830845411343394
2014,2,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),50 KG,Wholesale,1604.44,201.62,32.09,3.499231121933521
2014,2,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,Wholesale,5712.0,201.62,63.47,4.1661999993225285
2014,2,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,KG,Wholesale,75.27,201.62,75.27,4.3342796761761475
2014,2,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),90 KG,Wholesale,8094.0,201.62,89.93,4.510089979737821
2014,3,Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,Wholesale,35.0,184.92,35.0,3.58351893845611
2014,3,Coast,Mombasa,Mombasa,cereals and tubers,Maize (white),90 KG,Wholesale,2990.0,184.92,33.22,3.5328102684640474
2014,3,Coast,Mombasa,Mombasa,pulses and nuts,Beans,KG,Wholesale,83.67,184.92,83.67,4.438761347654186
2014,3,Coast,Mombasa,Mombasa,pulses and nuts,Beans (dry),90 KG,Wholesale,6306.0,184.92,70.07,4.263665306838804
2014,3,Eastern,Kitui,Kitui,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,2148.15,184.92,42.96,3.7832801295354206
2014,3,Eastern,Kitui,Kitui,cereals and tubers,Sorghum,90 KG,Wholesale,3600.0,184.92,40.0,3.713572066704308
2014,3,Eastern,Marsabit,Marsabit,cereals and tubers,Maize (white),KG,Retail,48.16,184.92,48.16,3.895080284697834
2014,3,Nairobi,Nairobi,Nairobi,cereals and tubers,Bread,400 G,Retail,47.75,184.92,119.38,4.790653406119625
2014,3,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,Wholesale,33.0,184.92,33.0,3.5263605246161616
2014,3,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize (white),90 KG,Wholesale,3168.75,184.92,35.21,3.58933532377755
2014,3,Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,1781.94,184.92,35.64,3.6011405398059297
2014,3,Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,Wholesale,3668.75,184.92,40.76,3.731938943574383
2014,3,Nairobi,Nairobi,Nairobi,oil and fats,Oil (vegetable),L,Retail,226.25,184.92,226.25,5.426050733057588
2014,3,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,Wholesale,68.62,184.92,68.62,4.243051882383293
2014,3,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans (dry),90 KG,Wholesale,6458.75,184.92,71.76,4.287166353649922
