year,month,rainfall_mm,temperature_c
2004,Dec,41.0149,25.3106
2005,Jan,19.1011,24.8122
2005,Feb,13.6037,27.1921
2005,Mar,49.6763,27.4049
2005,Apr,57.2831,26.7171
2005,May,83.5191,25.1366
2005,Jun,20.1572,24.1579
2005,Jul,19.2082,23.5231
2005,Aug,24.0252,23.9151
2005,Sep,18.9451,25.2023
2005,Oct,64.2847,25.1685
2005,Nov,46.147,25.3178
2005,Dec,18.656,25.4102
2006,Jan,22.1909,26.012
2006,Feb,22.2449,26.9355
2006,Mar,82.786,27.0357
2006,Apr,131.79,25.8867
2006,May,83.3955,24.986
2006,Jun,25.9291,24.4074
2006,Jul,26.0609,23.548
2006,Aug,44.2328,24.2949
2006,Sep,49.3262,24.1269
2006,Oct,94.12,25.8045
2006,Nov,174.698,25.1589
2006,Dec,79.3671,24.8899
2007,Jan,34.3716,25.5855
2007,Feb,25.0993,26.4363
2007,Mar,50.4786,26.6092
2007,Apr,105.91,26.0444
2007,May,90.5702,25.5509
2007,Jun,23.7514,23.7128
2007,Jul,39.9548,22.7807
2007,Aug,64.4247,23.6905
2007,Sep,66.5627,24.7334
2007,Oct,46.6673,25.5032
2007,Nov,57.0503,24.8829
2007,Dec,48.9737,25.1843
2008,Jan,26.4445,25.9522
2008,Feb,28.524,26.0127
2008,Mar,121.991,26.2269
2008,Apr,85.7628,25.4593
2008,May,63.9306,24.5696
2008,Jun,23.9265,23.5775
2008,Jul,21.3722,23.2604
2008,Aug,29.2983,24.4005
2008,Sep,32.8981,25.4872
2008,Oct,86.2573,25.3388
2008,Nov,110.582,24.499
2008,Dec,13.715,24.8051
2009,Jan,32.8746,25.6666
2009,Feb,28.0516,26.1369
2009,Mar,22.3291,27.0794
2009,Apr,92.9484,26.8432
2009,May,72.8358,25.418
2009,Jun,30.4692,24.6483
2009,Jul,18.3059,23.8074
2009,Aug,19.4447,24.7409
2009,Sep,19.6691,25.2241
2009,Oct,130.978,25.6667
2009,Nov,77.4053,25.5432
2009,Dec,89.9905,26.582
2010,Jan,46.9243,26.2326
2010,Feb,44.5868,26.4022
2010,Mar,96.3101,27.0585
2010,Apr,109.239,26.7494
2010,May,72.8616,25.2216
2010,Jun,45.9529,24.1788
2010,Jul,16.5458,23.5993
2010,Aug,33.5338,24.1275
2010,Sep,16.7171,24.7352
2010,Oct,50.512,25.7465
2010,Nov,59.7331,25.2708
2010,Dec,42.677,25.984
2011,Jan,19.4906,26.1305
2011,Feb,28.7876,26.0875
2011,Mar,83.5573,26.8969
2011,Apr,65.3496,27.0179
2011,May,84.732,25.8316
2011,Jun,27.0977,24.4374
2011,Jul,18.9236,23.8652
2011,Aug,23.6642,23.9092
2011,Sep,35.2312,24.8131
2011,Oct,93.8432,24.8914
2011,Nov,113.547,24.9862
2011,Dec,42.9499,25.0738
2012,Jan,46.5721,24.9748
2012,Feb,15.5346,25.9048
2012,Mar,23.3394,27.5007
2012,Apr,107.882,26.1119
2012,May,95.6116,25.5211
2012,Jun,38.07,24.1384
2012,Jul,26.9273,23.423
2012,Aug,36.3185,24.3426
2012,Sep,42.0646,25.22
2012,Oct,89.3439,25.7267
2012,Nov,124.175,25.4841
2012,Dec,110.374,24.5937
2013,Jan,42.9715,25.5601
2013,Feb,16.8768,26.66
2013,Mar,145.511,27.1454
2013,Apr,152.402,25.0039
2013,May,68.7326,25.5921
2013,Jun,27.0903,23.2803
2013,Jul,25.5887,23.7706
2013,Aug,51.8061,23.5732
2013,Sep,45.2457,25.195
2013,Oct,36.5215,25.2564
2013,Nov,84.2852,25.812
2013,Dec,72.66,25.3371
2014,Jan,20.1543,25.6409
2014,Feb,34.7628,26.6889
2014,Mar,60.4054,26.8922
2014,Apr,61.9105,25.4701
2014,May,66.4223,25.6096
2014,Jun,43.8258,25.0937
2014,Jul,27.0972,24.5677
2014,Aug,36.4492,23.8324
2014,Sep,47.0196,24.8383
2014,Oct,63.8456,25.4047
2014,Nov,102.131,25.4512
2014,Dec,50.6548,25.4477
2015,Jan,26.2482,25.0435
2015,Feb,21.8238,26.386
2015,Mar,48.4594,26.5572
2015,Apr,136.338,26.0706
2015,May,101.457,25.0663
2015,Jun,70.9284,24.5884
2015,Jul,20.7931,24.4622
2015,Aug,17.9734,24.3538
2015,Sep,36.7493,25.425
2015,Oct,64.3615,26.9733
2015,Nov,163.608,25.2908
2015,Dec,63.2356,26.2345
2016,Jan,56.7251,27.0367
2016,Feb,18.22,27.5964
2016,Mar,30.4865,27.7507
2016,Apr,166.705,26.9416
2016,May,70.6712,25.3344
2016,Jun,34.905,24.2913
2016,Jul,34.5489,24.256
2016,Aug,25.5342,24.0942
2016,Sep,15.1428,24.437
2016,Oct,40.0055,26.0317
2016,Nov,121.997,25.5692
2016,Dec,100.261,25.7401
