date,region,county,market,category,commodity,unit,pricetype,price
3/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),90 KG,Wholesale,3305
4/15/2006,Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,Wholesale,17.17
4/15/2006,Coast,Mombasa,Mombasa,cereals and tubers,Maize (white),90 KG,Wholesale,1595
4/15/2006,Coast,Mombasa,Mombasa,pulses and nuts,Beans,KG,Wholesale,43.84
4/15/2006,Coast,Mombasa,Mombasa,pulses and nuts,Beans (dry),90 KG,Wholesale,3995
4/15/2006,Eastern,Kitui,Kitui,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,1555.55
4/15/2006,Eastern,Kitui,Kitui,cereals and tubers,Sorghum,90 KG,Wholesale,2000
4/15/2006,Eastern,Kitui,Kitui,pulses and nuts,Beans (dry),KG,Retail,53
4/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Bread,400 G,Retail,26
4/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,Wholesale,17.02
4/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize (white),90 KG,Wholesale,1540
4/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,1388.88
4/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,Wholesale,2310
4/15/2006,Nairobi,Nairobi,Nairobi,oil and fats,Oil (vegetable),L,Retail,110
4/15/2006,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,Wholesale,47.1
4/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,Wholesale,16.6
4/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize (white),90 KG,Wholesale,1520
4/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Sorghum,90 KG,Wholesale,1600
4/15/2006,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,Wholesale,50.15
4/15/2006,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans (dry),90 KG,Wholesale,4640
4/15/2006,Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),KG,Retail,30
4/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,Wholesale,14.19
4/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),50 KG,Wholesale,796.1
4/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,Wholesale,1035
4/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),90 KG,Wholesale,3060
5/15/2006,Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,Wholesale,19.12
5/15/2006,Coast,Mombasa,Mombasa,cereals and tubers,Maize (white),90 KG,Wholesale,1739.47
5/15/2006,Eastern,Kitui,Kitui,pulses and nuts,Beans (dry),KG,Retail,51
5/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Bread,400 G,Retail,26
5/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,Wholesale,17.71
5/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize (white),90 KG,Wholesale,1624.76
5/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,Wholesale,2014.29
5/15/2006,Nairobi,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",500 ML,Retail,25
5/15/2006,Nairobi,Nairobi,Nairobi,oil and fats,Oil (vegetable),L,Retail,120
5/15/2006,North Eastern,Mandera,Mandera,cereals and tubers,Maize (white),KG,Retail,25
5/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,Wholesale,18.77
5/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,1111.1
5/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Sorghum,90 KG,Wholesale,1400
5/15/2006,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,Wholesale,48.09
5/15/2006,Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),KG,Retail,26
5/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,Wholesale,15.58
5/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,Wholesale,1031.58
5/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,KG,Wholesale,53.6
5/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),90 KG,Wholesale,3311
6/15/2006,Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,Wholesale,20.1
6/15/2006,Coast,Mombasa,Mombasa,cereals and tubers,Maize (white),90 KG,Wholesale,1814.75
6/15/2006,Eastern,Kitui,Kitui,cereals and tubers,Maize (white),KG,Retail,22
6/15/2006,Eastern,Kitui,Kitui,pulses and nuts,Beans (dry),KG,Retail,53
6/15/2006,Eastern,Marsabit,Marsabit,cereals and tubers,Maize (white),KG,Retail,20
6/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Bread,400 G,Retail,26
6/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,Wholesale,16.96
6/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize (white),90 KG,Wholesale,1550.91
6/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,861.1
6/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,Wholesale,1978.07
6/15/2006,Nairobi,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",500 ML,Retail,22
6/15/2006,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,Wholesale,33.07
6/15/2006,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans (dry),90 KG,Wholesale,3017
6/15/2006,North Eastern,Mandera,Mandera,cereals and tubers,Maize (white),KG,Retail,22
6/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,Wholesale,19.3
6/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize (white),90 KG,Wholesale,1714
6/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,586.11
6/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Sorghum,90 KG,Wholesale,1220
6/15/2006,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,Wholesale,38.51
6/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,Wholesale,17.03
6/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),50 KG,Wholesale,450.61
6/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,Wholesale,1322.22
6/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),90 KG,Wholesale,2978
7/15/2006,Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,Wholesale,19.92
7/15/2006,Coast,Mombasa,Mombasa,cereals and tubers,Maize (white),90 KG,Wholesale,1695
7/15/2006,Coast,Mombasa,Mombasa,pulses and nuts,Beans,KG,Wholesale,30.15
7/15/2006,Coast,Mombasa,Mombasa,pulses and nuts,Beans (dry),90 KG,Wholesale,2750
7/15/2006,Eastern,Kitui,Kitui,cereals and tubers,Maize (white),KG,Retail,22
7/15/2006,Eastern,Marsabit,Marsabit,cereals and tubers,Maize (white),KG,Retail,21
7/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Bread,400 G,Retail,26
7/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,Wholesale,18.61
7/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize (white),90 KG,Wholesale,1690.67
7/15/2006,Nairobi,Nairobi,Nairobi,oil and fats,Oil (vegetable),L,Retail,115
7/15/2006,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,Wholesale,30.3
7/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,Wholesale,17.26
7/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,455.55
7/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Sorghum,90 KG,Wholesale,1450
7/15/2006,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,Wholesale,34.77
7/15/2006,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans (dry),90 KG,Wholesale,3200
7/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,Wholesale,16.56
7/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),50 KG,Wholesale,333.32
7/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,Wholesale,1000
8/15/2006,Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,Wholesale,15.31
8/15/2006,Coast,Mombasa,Mombasa,cereals and tubers,Maize (white),90 KG,Wholesale,1131.25
